scoreNullable,teamId,hasTeamName,submissionDate,score,hasScore
0.90654,13478435,True,2025-03-31 13:19:28,0.90654,True
0.90604,13467710,True,2025-03-26 04:32:23,0.90604,True
0.90583,13474151,True,2025-03-30 22:45:54,0.90583,True
0.90575,13420454,True,2025-03-23 15:06:20,0.90575,True
0.90534,13568935,True,2025-03-31 11:32:00,0.90534,True
0.90534,13455859,True,2025-03-31 23:26:47,0.90534,True
0.90526,13426819,True,2025-03-02 16:07:33,0.90526,True
0.90518,13419371,True,2025-03-20 13:09:05,0.90518,True
0.90491,13513097,True,2025-03-29 15:14:38,0.90491,True
0.90489,13581798,True,2025-03-31 19:41:59,0.90489,True
0.90464,13434213,True,2025-03-12 06:22:17,0.90464,True
0.90421,13475761,True,2025-03-21 09:14:08,0.90421,True
0.90410,13463596,True,2025-03-11 21:12:37,0.90410,True
0.90406,13575216,True,2025-03-30 03:11:51,0.90406,True
0.90403,13509356,True,2025-03-17 16:45:05,0.90403,True
0.90402,13466672,True,2025-03-16 07:21:30,0.90402,True
0.90400,13420256,True,2025-03-11 07:45:49,0.90400,True
0.90395,13418851,True,2025-03-31 04:47:20,0.90395,True
0.90394,13431631,True,2025-03-20 15:22:10,0.90394,True
0.90386,13458072,True,2025-03-13 03:37:35,0.90386,True
