scoreNullable,teamId,hasTeamName,submissionDate,score,hasScore
0.96446,8398674,True,2026-01-19 07:40:44,0.96446,True
0.82183,10534604,True,2025-12-28 09:49:44,0.82183,True
0.82066,14969087,True,2025-12-15 16:14:38,0.82066,True
0.82066,14361293,True,2025-12-21 16:44:44,0.82066,True
0.82066,11817833,True,2026-01-30 00:03:53,0.82066,True
0.82066,14679605,True,2026-01-30 15:03:16,0.82066,True
0.82043,15174050,True,2026-02-01 04:07:26,0.82043,True
0.81903,14676592,True,2025-12-25 17:20:12,0.81903,True
0.81903,15013330,True,2025-12-23 07:03:23,0.81903,True
0.81903,11317896,True,2025-12-26 05:04:16,0.81903,True
0.81903,15064950,True,2026-01-27 07:37:28,0.81903,True
0.81903,15132999,True,2026-01-23 09:36:16,0.81903,True
0.81903,11458675,True,2026-01-26 12:25:52,0.81903,True
0.81903,15179411,True,2026-02-02 17:55:41,0.81903,True
0.81762,14764955,True,2025-12-13 19:14:09,0.81762,True
0.81762,15022581,True,2025-12-25 14:50:12,0.81762,True
0.81762,15024037,True,2025-12-26 02:52:57,0.81762,True
0.81762,15022225,True,2026-01-22 04:06:44,0.81762,True
0.81716,15162729,True,2026-01-29 10:19:47,0.81716,True
0.81669,14747566,True,2025-12-20 12:10:56,0.81669,True
