scoreNullable,teamId,hasTeamName,submissionDate,score,hasScore
0.38652,13988327,True,2025-06-30 23:42:51,0.38652,True
0.38518,13906743,True,2025-06-30 20:42:12,0.38518,True
0.38513,13909089,True,2025-06-29 10:20:20,0.38513,True
0.38507,13908011,True,2025-06-29 13:46:12,0.38507,True
0.38502,13906772,True,2025-06-30 23:56:26,0.38502,True
0.38489,13907250,True,2025-06-11 00:34:26,0.38489,True
0.38486,13910248,True,2025-06-30 17:24:43,0.38486,True
0.38476,13961845,True,2025-06-30 02:20:07,0.38476,True
0.38475,13907859,True,2025-06-30 22:07:49,0.38475,True
0.38472,13910828,True,2025-06-30 12:56:05,0.38472,True
0.38461,13906744,True,2025-06-30 10:58:56,0.38461,True
0.38454,13973280,True,2025-06-30 07:50:47,0.38454,True
0.38450,13916751,True,2025-06-28 01:46:53,0.38450,True
0.38446,13918044,True,2025-06-30 23:01:47,0.38446,True
0.38441,13906846,True,2025-06-30 16:40:20,0.38441,True
0.38439,13906768,True,2025-06-30 07:37:42,0.38439,True
0.38435,13920745,True,2025-06-30 22:56:51,0.38435,True
0.38418,14006367,True,2025-06-30 15:46:04,0.38418,True
0.38411,14007446,True,2025-06-30 08:46:55,0.38411,True
0.38394,13920702,True,2025-06-30 19:20:21,0.38394,True
