scoreNullable,teamId,hasTeamName,submissionDate,score,hasScore
0.85882,15040567,True,2026-01-03 17:24:44,0.85882,True
0.85658,12388279,True,2025-02-23 10:47:12,0.85658,True
0.85497,14557407,True,2025-11-09 07:57:54,0.85497,True
0.85390,14377684,True,2025-09-28 23:35:47,0.85390,True
0.85340,8074698,True,2022-01-29 07:53:07,0.85340,True
0.85169,8266437,True,2022-08-01 02:47:23,0.85169,True
0.82060,12167553,True,2024-05-27 00:56:11,0.82060,True
0.81247,9160439,True,2022-09-16 13:25:24,0.81247,True
0.81247,12626216,True,2024-12-01 07:10:39,0.81247,True
0.80803,12135328,True,2024-06-02 08:59:24,0.80803,True
0.80803,12135326,True,2024-05-27 01:08:58,0.80803,True
0.80609,14881925,True,2025-12-06 17:12:18,0.80609,True
0.79297,12135345,True,2024-06-06 08:27:22,0.79297,True
0.78816,9771455,True,2023-01-22 00:21:11,0.78816,True
0.76680,14881477,True,2025-12-29 13:17:38,0.76680,True
0.75185,13229193,True,2026-02-04 13:07:44,0.75185,True
0.70852,10941757,True,2023-09-20 06:54:20,0.70852,True
0.67317,10299455,True,2023-04-27 12:17:49,0.67317,True
0.50367,13821330,True,2025-05-31 09:14:53,0.50367,True
