scoreNullable,teamId,hasTeamName,submissionDate,score,hasScore
0.97801,14194712,True,2025-08-31 23:58:59,0.97801,True
0.97794,14194684,True,2025-08-31 13:25:46,0.97794,True
0.97790,14194699,True,2025-08-31 22:58:59,0.97790,True
0.97790,14194498,True,2025-08-31 10:16:54,0.97790,True
0.97784,14194501,True,2025-08-31 19:00:20,0.97784,True
0.97775,14199047,True,2025-08-30 07:48:03,0.97775,True
0.97769,14208134,True,2025-08-31 18:39:35,0.97769,True
0.97768,14207817,True,2025-08-31 21:16:28,0.97768,True
0.97768,14199095,True,2025-08-31 10:53:10,0.97768,True
0.97767,14232820,True,2025-08-31 01:13:02,0.97767,True
0.97766,14195417,True,2025-08-31 02:29:22,0.97766,True
0.97765,14197671,True,2025-08-31 18:22:27,0.97765,True
0.97763,14206711,True,2025-08-27 15:38:59,0.97763,True
0.97763,14199895,True,2025-08-31 00:26:39,0.97763,True
0.97761,14194731,True,2025-08-31 23:51:42,0.97761,True
0.97758,14212399,True,2025-08-31 15:02:45,0.97758,True
0.97757,14204787,True,2025-08-31 14:03:47,0.97757,True
0.97757,14200102,True,2025-08-31 11:32:32,0.97757,True
0.97744,14198816,True,2025-08-31 15:06:55,0.97744,True
0.97744,14216528,True,2025-08-31 12:14:08,0.97744,True
